Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
DIESEL;C1;C2;8;24;;;
DIESEL;C1;C2;9;1;;;
DIESEL;C1;C2;9;2;;;
DIESEL;C1;C2;9;3;;;
DIESEL;C1;C2;9;4;;;
DIESEL;C1;C2;9;5;;;
DIESEL;C1;C2;9;6;;;
DIESEL;C1;C2;9;7;;;
DIESEL;C1;C2;9;8;;;
DIESEL;C1;C2;9;9;;;
DIESEL;C1;C2;9;10;;;
DIESEL;C1;C2;9;11;;;
DIESEL;C1;C2;9;12;;;
DIESEL;C1;C2;9;13;;;
DIESEL;C1;C2;9;14;;;
DIESEL;C1;C2;9;15;;;
DIESEL;C1;C2;9;16;;;
DIESEL;C1;C2;9;17;;;
DIESEL;C1;C2;9;18;;;
DIESEL;C1;C2;9;19;;;
DIESEL;C1;C2;9;20;;;
DIESEL;C1;C2;9;21;;;
DIESEL;C1;C2;9;22;;;
DIESEL;C1;C2;9;23;;;
DIESEL;C1;C2;9;24;;;
DIESEL;C1;C2;10;1;;;
DIESEL;C1;C2;10;2;;;
DIESEL;C1;C2;10;3;;;
DIESEL;C1;C2;10;4;;;
DIESEL;C1;C2;10;5;;;
DIESEL;C1;C2;10;6;;;
DIESEL;C1;C2;10;7;;;
DIESEL;C1;C2;10;8;;;
DIESEL;C1;C2;10;9;;;
DIESEL;C1;C2;10;10;;;
DIESEL;C1;C2;10;11;;;
DIESEL;C1;C2;10;12;;;
DIESEL;C1;C2;10;13;;;
DIESEL;C1;C2;10;14;;;
DIESEL;C1;C2;10;15;;;
DIESEL;C1;C2;10;16;;;
DIESEL;C1;C2;10;17;;;
DIESEL;C1;C2;10;18;;;
DIESEL;C1;C2;10;19;;;
DIESEL;C1;C2;10;20;;;
DIESEL;C1;C2;10;21;;;
DIESEL;C1;C2;10;22;;;
DIESEL;C1;C2;10;23;;;
DIESEL;C1;C2;10;24;;;
DIESEL;C1;C2;11;1;;;
DIESEL;C1;C2;11;2;;;
DIESEL;C1;C2;11;3;;;
DIESEL;C1;C2;11;4;;;
DIESEL;C1;C2;11;5;;;
DIESEL;C1;C2;11;6;;;
DIESEL;C1;C2;11;7;;;
DIESEL;C1;C2;11;8;;;
DIESEL;C1;C2;11;9;;;
DIESEL;C1;C2;11;10;;;
DIESEL;C1;C2;11;11;;;
DIESEL;C1;C2;11;12;;;
DIESEL;C1;C2;11;13;;;
DIESEL;C1;C2;11;14;;;
DIESEL;C1;C2;11;15;;;
DIESEL;C1;C2;11;16;;;
DIESEL;C1;C2;11;17;;;
DIESEL;C1;C2;11;18;;;
DIESEL;C1;C2;11;19;;;
DIESEL;C1;C2;11;20;;;
DIESEL;C1;C2;11;21;;;
DIESEL;C1;C2;11;22;;;
DIESEL;C1;C2;11;23;;;
DIESEL;C1;C2;11;24;;;
DIESEL;C1;C2;12;1;;;
DIESEL;C1;C2;12;2;;;
DIESEL;C1;C2;12;3;;;
DIESEL;C1;C2;12;4;;;
DIESEL;C1;C2;12;5;;;
DIESEL;C1;C2;12;6;;;
DIESEL;C1;C2;12;7;;;
DIESEL;C1;C2;12;8;;;
DIESEL;C1;C2;12;9;;;
DIESEL;C1;C2;12;10;;;
DIESEL;C1;C2;12;11;;;
DIESEL;C1;C2;12;12;;;
DIESEL;C1;C2;12;13;;;
DIESEL;C1;C2;12;14;;;
DIESEL;C1;C2;12;15;;;
DIESEL;C1;C2;12;16;;;
DIESEL;C1;C2;12;17;;;
DIESEL;C1;C2;12;18;;;
DIESEL;C1;C2;12;19;;;
DIESEL;C1;C2;12;20;;;
DIESEL;C1;C2;12;21;;;
DIESEL;C1;C2;12;22;;;
DIESEL;C1;C2;12;23;;;
DIESEL;C1;C2;12;24;;;
DIESEL;C1;C2;13;1;;;
DIESEL;C1;C2;13;2;;;
DIESEL;C1;C2;13;3;;;
DIESEL;C1;C2;13;4;;;
DIESEL;C1;C2;13;5;;;
DIESEL;C1;C2;13;6;;;
DIESEL;C1;C2;13;7;;;
DIESEL;C1;C2;13;8;;;
DIESEL;C1;C2;13;9;;;
DIESEL;C1;C2;13;10;;;
DIESEL;C1;C2;13;11;;;
DIESEL;C1;C2;13;12;;;
DIESEL;C1;C2;13;13;;;
DIESEL;C1;C2;13;14;;;
DIESEL;C1;C2;13;15;;;
DIESEL;C1;C2;13;16;;;
DIESEL;C1;C2;13;17;;;
DIESEL;C1;C2;13;18;;;
DIESEL;C1;C2;13;19;;;
DIESEL;C1;C2;13;20;;;
DIESEL;C1;C2;13;21;;;
DIESEL;C1;C2;13;22;;;
DIESEL;C1;C2;13;23;;;
DIESEL;C1;C2;13;24;;;
DIESEL;C1;C2;14;1;;;
DIESEL;C1;C2;14;2;;;
DIESEL;C1;C2;14;3;;;
DIESEL;C1;C2;14;4;;;
DIESEL;C1;C2;14;5;;;
DIESEL;C1;C2;14;6;;;
DIESEL;C1;C2;14;7;;;
DIESEL;C1;C2;14;8;;;
DIESEL;C1;C2;14;9;;;
DIESEL;C1;C2;14;10;;;
DIESEL;C1;C2;14;11;;;
DIESEL;C1;C2;14;12;;;
DIESEL;C1;C2;14;13;;;
DIESEL;C1;C2;14;14;;;
DIESEL;C1;C2;14;15;;;
DIESEL;C1;C2;14;16;;;
DIESEL;C1;C2;14;17;;;
DIESEL;C1;C2;14;18;;;
DIESEL;C1;C2;14;19;;;
DIESEL;C1;C2;14;20;;;
DIESEL;C1;C2;14;21;;;
DIESEL;C1;C2;14;22;;;
DIESEL;C1;C2;14;23;;;
DIESEL;C1;C2;14;24;;;
DIESEL;C1;C2;15;1;;;
DIESEL;C1;C2;15;2;;;
DIESEL;C1;C2;15;3;;;
DIESEL;C1;C2;15;4;;;
DIESEL;C1;C2;15;5;;;
