Regions;Storage_tech;Typical_days;Hours;Storage_out;Storage_in;Storage_power
C1;BATT_HS;2;8;;;0.0
C1;BATT_HS;2;9;;;0.0
C1;BATT_HS;2;10;;;0.0
C1;BATT_HS;2;11;;;0.0
C1;BATT_HS;2;12;;;0.0
C1;BATT_HS;2;13;;;0.0
C1;BATT_HS;2;14;;;0.0
C1;BATT_HS;2;15;;;0.0
C1;BATT_HS;2;16;;;0.0
C1;BATT_HS;2;17;;;0.0
C1;BATT_HS;2;18;;;0.0
C1;BATT_HS;2;19;;;0.0
C1;BATT_HS;2;20;;;0.0
C1;BATT_HS;2;21;;;0.0
C1;BATT_HS;2;22;;;0.0
C1;BATT_HS;2;23;;;0.0
C1;BATT_HS;2;24;;;0.0
C1;BATT_HS;3;1;;;0.0
C1;BATT_HS;3;2;;;0.0
C1;BATT_HS;3;3;;;0.0
C1;BATT_HS;3;4;;;0.0
C1;BATT_HS;3;5;;;0.0
C1;BATT_HS;3;6;;;0.0
C1;BATT_HS;3;7;;;0.0
C1;BATT_HS;3;8;;;0.0
C1;BATT_HS;3;9;;;0.0
C1;BATT_HS;3;10;;;0.0
C1;BATT_HS;3;11;;;0.0
C1;BATT_HS;3;12;;;0.0
C1;BATT_HS;3;13;;;0.0
C1;BATT_HS;3;14;;;0.0
C1;BATT_HS;3;15;;;0.0
C1;BATT_HS;3;16;;;0.0
C1;BATT_HS;3;17;;;0.0
C1;BATT_HS;3;18;;;0.0
C1;BATT_HS;3;19;;;0.0
C1;BATT_HS;3;20;;;0.0
C1;BATT_HS;3;21;;;0.0
C1;BATT_HS;3;22;;;0.0
C1;BATT_HS;3;23;;;0.0
C1;BATT_HS;3;24;;;0.0
C1;BATT_HS;4;1;;;0.0
C1;BATT_HS;4;2;;;0.0
C1;BATT_HS;4;3;;;0.0
C1;BATT_HS;4;4;;;0.0
C1;BATT_HS;4;5;;;0.0
C1;BATT_HS;4;6;;;0.0
C1;BATT_HS;4;7;;;0.0
C1;BATT_HS;4;8;;;0.0
C1;BATT_HS;4;9;;;0.0
C1;BATT_HS;4;10;;;0.0
C1;BATT_HS;4;11;;;0.0
C1;BATT_HS;4;12;;;0.0
C1;BATT_HS;4;13;;;0.0
C1;BATT_HS;4;14;;;0.0
C1;BATT_HS;4;15;;;0.0
C1;BATT_HS;4;16;;;0.0
C1;BATT_HS;4;17;;;0.0
C1;BATT_HS;4;18;;;0.0
C1;BATT_HS;4;19;;;0.0
C1;BATT_HS;4;20;;;0.0
C1;BATT_HS;4;21;;;0.0
C1;BATT_HS;4;22;;;0.0
C1;BATT_HS;4;23;;;0.0
C1;BATT_HS;4;24;;;0.0
C1;BATT_HS;5;1;;;0.0
C1;BATT_HS;5;2;;;0.0
C1;BATT_HS;5;3;;;0.0
C1;BATT_HS;5;4;;;0.0
C1;BATT_HS;5;5;;;0.0
C1;BATT_HS;5;6;;;0.0
C1;BATT_HS;5;7;;;0.0
C1;BATT_HS;5;8;;;0.0
C1;BATT_HS;5;9;;;0.0
C1;BATT_HS;5;10;;;0.0
C1;BATT_HS;5;11;;;0.0
C1;BATT_HS;5;12;;;0.0
C1;BATT_HS;5;13;;;0.0
C1;BATT_HS;5;14;;;0.0
C1;BATT_HS;5;15;;;0.0
C1;BATT_HS;5;16;;;0.0
C1;BATT_HS;5;17;;;0.0
C1;BATT_HS;5;18;;;0.0
C1;BATT_HS;5;19;;;0.0
C1;BATT_HS;5;20;;;0.0
C1;BATT_HS;5;21;;;0.0
C1;BATT_HS;5;22;;;0.0
C1;BATT_HS;5;23;;;0.0
C1;BATT_HS;5;24;;;0.0
C1;BATT_HS;6;1;;;0.0
C1;BATT_HS;6;2;;;0.0
C1;BATT_HS;6;3;;;0.0
C1;BATT_HS;6;4;;;0.0
C1;BATT_HS;6;5;;;0.0
C1;BATT_HS;6;6;;;0.0
C1;BATT_HS;6;7;;;0.0
C1;BATT_HS;6;8;;;0.0
C1;BATT_HS;6;9;;;0.0
C1;BATT_HS;6;10;;;0.0
C1;BATT_HS;6;11;;;0.0
C1;BATT_HS;6;12;;;0.0
C1;BATT_HS;6;13;;;0.0
C1;BATT_HS;6;14;;;0.0
C1;BATT_HS;6;15;;;0.0
C1;BATT_HS;6;16;;;0.0
C1;BATT_HS;6;17;;;0.0
C1;BATT_HS;6;18;;;0.0
C1;BATT_HS;6;19;;;0.0
C1;BATT_HS;6;20;;;0.0
C1;BATT_HS;6;21;;;0.0
C1;BATT_HS;6;22;;;0.0
C1;BATT_HS;6;23;;;0.0
C1;BATT_HS;6;24;;;0.0
C1;BATT_HS;7;1;;;0.0
C1;BATT_HS;7;2;;;0.0
C1;BATT_HS;7;3;;;0.0
C1;BATT_HS;7;4;;;0.0
C1;BATT_HS;7;5;;;0.0
C1;BATT_HS;7;6;;;0.0
C1;BATT_HS;7;7;;;0.0
C1;BATT_HS;7;8;;;0.0
C1;BATT_HS;7;9;;;0.0
C1;BATT_HS;7;10;;;0.0
C1;BATT_HS;7;11;;;0.0
C1;BATT_HS;7;12;;;0.0
C1;BATT_HS;7;13;;;0.0
C1;BATT_HS;7;14;;;0.0
C1;BATT_HS;7;15;;;0.0
C1;BATT_HS;7;16;;;0.0
C1;BATT_HS;7;17;;;0.0
C1;BATT_HS;7;18;;;0.0
C1;BATT_HS;7;19;;;0.0
C1;BATT_HS;7;20;;;0.0
C1;BATT_HS;7;21;;;0.0
C1;BATT_HS;7;22;;;0.0
C1;BATT_HS;7;23;;;0.0
C1;BATT_HS;7;24;;;0.0
C1;BATT_HS;8;1;;;0.0
C1;BATT_HS;8;2;;;0.0
C1;BATT_HS;8;3;;;0.0
C1;BATT_HS;8;4;;;0.0
C1;BATT_HS;8;5;;;0.0
C1;BATT_HS;8;6;;;0.0
C1;BATT_HS;8;7;;;0.0
C1;BATT_HS;8;8;;;0.0
C1;BATT_HS;8;9;;;0.0
C1;BATT_HS;8;10;;;0.0
