Regions;Technologies;Typical_days;Hours;F_t
C1;AGR_MACHINERY_EL;4;14;0.0
C1;AGR_MACHINERY_EL;4;15;0.0
C1;AGR_MACHINERY_EL;4;16;0.0
C1;AGR_MACHINERY_EL;4;17;0.0
C1;AGR_MACHINERY_EL;4;18;0.0
C1;AGR_MACHINERY_EL;4;19;0.0
C1;AGR_MACHINERY_EL;4;20;0.0
C1;AGR_MACHINERY_EL;4;21;0.0
C1;AGR_MACHINERY_EL;4;22;0.0
C1;AGR_MACHINERY_EL;4;23;0.0
C1;AGR_MACHINERY_EL;4;24;0.0
C1;AGR_MACHINERY_EL;5;1;0.0
C1;AGR_MACHINERY_EL;5;2;0.0
C1;AGR_MACHINERY_EL;5;3;0.0
C1;AGR_MACHINERY_EL;5;4;0.0
C1;AGR_MACHINERY_EL;5;5;0.0
C1;AGR_MACHINERY_EL;5;6;0.0
C1;AGR_MACHINERY_EL;5;7;0.0
C1;AGR_MACHINERY_EL;5;8;0.0
C1;AGR_MACHINERY_EL;5;9;0.0
C1;AGR_MACHINERY_EL;5;10;0.0
C1;AGR_MACHINERY_EL;5;11;0.0
C1;AGR_MACHINERY_EL;5;12;0.0
C1;AGR_MACHINERY_EL;5;13;0.0
C1;AGR_MACHINERY_EL;5;14;0.0
C1;AGR_MACHINERY_EL;5;15;0.0
C1;AGR_MACHINERY_EL;5;16;0.0
C1;AGR_MACHINERY_EL;5;17;0.0
C1;AGR_MACHINERY_EL;5;18;0.0
C1;AGR_MACHINERY_EL;5;19;0.0
C1;AGR_MACHINERY_EL;5;20;0.0
C1;AGR_MACHINERY_EL;5;21;0.0
C1;AGR_MACHINERY_EL;5;22;0.0
C1;AGR_MACHINERY_EL;5;23;0.0
C1;AGR_MACHINERY_EL;5;24;0.0
C1;AGR_MACHINERY_EL;6;1;0.0
C1;AGR_MACHINERY_EL;6;2;0.0
C1;AGR_MACHINERY_EL;6;3;0.0
C1;AGR_MACHINERY_EL;6;4;0.0
